keys,en,de
Text/65/text,"„This is our compact car. Very handy, a bit older, but it has all the tires and has always been serviced in the workshop. Exactly the right car for you. Look at the price. A real bargain!“",
Text/66/text,I look at the price and hesitate for a moment.,
Choice/67/text,I think I'll take the car!,
Choice/67/disabled_text,,
Text/68/text,„Then I might as well drive to Mr. Akuban's with it!“,
Text/69/text,The salesman suddenly smiles broadly as soon as I agree.,
Text/6a/text,"„Wonderful, then we can conclude the contract right away!“",
Text/6b/text,"Barely out of the office, I suddenly feel much worse. I now have the address and my own car, but something in me says I will regret it in the next few years. Is it because of the strange fine print?",
Text/6c/text,"Although I now have a car, I can't use it. Apparently, the salesman wants to take the car back to the workshop again, so I will have to walk to the bar.",
Choice/6d/text,I won't take the car.,
Choice/6d/disabled_text,,
Text/6e/text,"„Thanks, but I'm not interested in the car.“",
Text/6f/text,"„Okay, then maybe-""",
Text/70/text,„NO!“,
Text/71/text,"„I'm not interested in the car, but I need to find Mr. Akuban. Can you tell me where he is or do you not know him?""",
Text/72/text,The salesman purses his lips and lets out a heavy sigh.,
Text/73/text,„Are you really not willing to buy a car?“,
Text/74/text,"„Listen, if this keeps going on like this...!“",
Text/75/text,"He quickly raises his hands and puts on his brightest smile. In that moment, I feel the overwhelming desire to wipe it off his face.",
Text/76/text,"„Mr. Akuban is a good friend. He works at the bar which is not very far from here. A good man, that guy. Say hello to him from me. You just go straight from here and take the first right. You can't miss the bar.“",
Text/77/text,„Thank you very much.“,
Text/78/text,I said goodbye and felt very relieved to be getting away from this man. Buying a car had suddenly become much less attractive than I had  previously thought.,
Text/79/text,„We have not opened yet. Come back later...“,
Text/7a/text,"I decide to approach the bartender and ask for Mr. Akuban. The closer I get to the counter, the more unsure I become.",
Text/7b/text,"„Shut up, Ciper, drink your crap and get lost.“",
Text/7c/text,"The bartender shouts, and I flinch slightly. I sit down at the bar and place the package as close to me as possible.",
Text/7d/text,"„What do you want here, kiddo??“",
Text/7e/text,„I'm looking for a Mr. Akuban... so...“,
Text/7f/text,I am silenced as the bartender looks at me with a cold and downright creepy gaze.,
Text/80/text,"„Get out of here, you have no business here.“",
Text/81/text,I quickly realize that he doesn't want to talk to me. So I have to make sure!,
Text/82/text,"„Get lost.""",
Text/83/text,"„They call me Boris here. Drop the 'Mister' What do you want, kiddo?“",
Text/84/text,"„I'm here because of the package, it's for you...“",
Text/85/text,"I push the package over to him and after inspecting and unpacking it, he looks at me for a while. Finally, he slams his hand on the counter, which completely confuses me.",
Text/86/text,„Damn witch! Wait a minute.“,
Text/87/text,"He says and disappears shortly after. As he comes back, he has a small card and a note with him. The note has an address and directions, while the card is clearly a birthday card.",
Text/88/text,"„That's my niece's birthday gift! I would be very grateful if you could bring it to her. Actually, I didn't want to take the witch's gift, but since you made an effort to earn my respect, I'll turn a blind eye.""",
Text/89/text,"He seems sulky, but continues speaking.",
Text/8a/text,"„My niece's birthday is today... please let her know that I'll come by later. Unfortunately, I have to stay in this place longer today.“",
Text/8b/text,I am surprised by his words and couldn't possibly refuse.,
Text/8c/text,"Boris isn't a bad guy, and since I had already taken the whole way, I might as well go the last few meters.",
Text/8d/text,I pack the gift and the card and say goodbye to Boris.,
Text/8e/text,"As I reach the bar, the smell of alcohol and smoke hit me. There is a man standing behind the counter.",
Text/8f/text,"As I reach the bar, the smell of alcohol and smoke hit me, and I noticed some of the guests staring at me. There is a man standing behind the counter.",
Text/90/text,The bartender seems much friendlier all of a sudden after I made an effort to show him that I am serious.,
Text/91/text,„Thank you. It looks much better now!“,
Text/92/text,"""Hey don't touch my stuff!""",
Text/93/text,Maybe he will talk to me when I help him.,
Text/94/text,"""Hey, can I help you out by sorting the shelf?""",
Text/95/text,"""Fine. If you sort them properly, I might be willing to help you.""",
Text/96/text,"I am actually glad that I don't have to carry the big package anymore, but only the gift and the attached card. That makes things much easier!",
Text/97/text,"Slowly but surely, I approach the address. I hear children's laughter and also a few screams of joy. Children can be very peculiar at times.",
Text/98/text,"After I reach the house, I see how much it's decorated.
Children are running around, but one of the them looks particularly sad and is standing around watching the others.",
Text/99/text,I approach the girl who looks at me questioningly.,
Text/9a/text,„I don't know you.“,
Text/9b/text,„I'm {mc}. I'm here because I have a very important delivery for the birthday girl!“,
Text/9c/text,„I am the birthday girl! I'm Lara and today is my seventh birthday.“,
Text/9d/text,"Proudly, the girl raises her hands to show the number on her fingers. Instantly, she looks at the gift and seems very excited.",
Text/9e/text,"„Your uncle and aunt both wanted me to deliver this to you, and your uncle even sent a card along with it.“",
Text/9f/text,"„As long as he comes, it's not a problem!“",
Text/a0/text,„Is this... the present they got for me?“,
Text/a1/text,I see how the girl keeps looking at the wrapped gift and hand her the package as well as the card.,
Text/a2/text,„Thank you so much! You saved my birthday!“,
Text/a3/text,"The girl hurries to unwrap the present, and a teddy bear comes into view which she hugs tightly.",
Text/a4/text,[wave freq=8.0][font_size=60]„A teddy bear!“[/font_size][/wave],
Text/a5/text,"It doesn't take long before she runs off and is more excited than any other child. I am very happy to see her like that, and don't regret taking the package from Miu.",
Text/a6/text,"„Come with me, my new best friend!“",
Text/a7/text,"„Isn't that you, {mc}?“",
Text/a8/text,"„Miu, what are you doing here?“",
Text/a9/text,„I t- t- told you I was invited to a birthday party. And you? Did you succeed with the package?“,
Text/aa/text,"I nod, and suddenly I hear a honk. I look with Miu to the entrance and see Carson getting out of my car. I can also see Boris. He goes straight to Lara, who greets him.",
Text/ab/text,"I nod, and suddenly I hear a honk. I look with Miu to the entrance and see Carson getting out of a car. I can also see Boris. He goes straight to Lara, who greets him.",
Text/ac/text,"„Wait, does that mean... Oh no, I'm so sorry, {mc}, I didn't know...“",
Text/ad/text,I shake my head and smile.,
Text/ae/text,"„Don't worry. At least, I wasn't bored today. And you know what? I think we can definitely do things together more often and solve your problem with your ex.“",
Text/af/text,"I don't know why, but I have the feeling that something has changed in me through this small delivery, and I want to continue this change!",
Text/b0/text,The only thing I would still like to avoid is buying a car from that sleazy car dealer. It's constantly breaking down!,
Text/b1/text,What is your name?,
Text/b2/text,"Text bla bla, choice:",
Choice/b3/text,Text of choice 1,
Choice/b3/disabled_text,,
Text/b4/text,This is shown when this choice is selected,
Choice/b5/text,Text of choice 2,
Choice/b5/disabled_text,,
Text/b6/text,This is shown when this choice is selected,
